"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","Correct.Response","reps","feedback","filename"
"45","Exposure","Filler",1,9,"3","Inhabit","Set A","Word","Female","Right","Logelai","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Logelai.M.L_W.Inhabit.F.R.wav"
"46","Exposure","Filler",1,9,"4","Meidnow","Set B","Nonword","Female","Left","Knowingly","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Meidnow.F.L_W.Knowingly.M.R.wav"
"47","Exposure","Filler",1,9,"1","Kaldemia","Set C","Nonword","Female","Right","Laminate","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Laminate.M.L_N.Kaldemia.F.R.wav"
"48","Exposure","Filler",1,10,"3","Keyboard","Set A","Word","Female","Right","Lenediaw","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Lenediaw.M.L_W.Keyboard.F.R.wav"
"49","Exposure","Filler",1,10,"4","Kermimer","Set B","Nonword","Female","Left","Lethal","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Kermimer.F.L_W.Lethal.M.R.wav"
"50","Exposure","Filler",1,10,"1","Imdalier","Set C","Nonword","Female","Right","Liability","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Liability.M.L_N.Imdalier.F.R.wav"
"51","Exposure","Filler",1,11,"3","Lengthen","Set A","Word","Female","Right","Kelabidel","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Kelabidel.M.L_W.Lengthen.F.R.wav"
"52","Exposure","Filler",1,11,"4","Itempider","Set B","Nonword","Female","Left","Lobbying","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Itempider.F.L_W.Lobbying.M.R.wav"
"53","Exposure","Filler",1,11,"1","Kloumidiger","Set C","Nonword","Female","Right","Marina","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Marina.M.L_N.Kloumidiger.F.R.wav"
"54","Exposure","Filler",1,12,"3","Lingering","Set A","Word","Female","Right","Inpaki","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Inpaki.M.L_W.Lingering.F.R.wav"
"55","Exposure","Filler",1,12,"4","Aknid","Set B","Nonword","Female","Left","Membrane","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Aknid.F.L_W.Membrane.M.R.wav"
"56","Exposure","Filler",1,12,"1","Halomimoc","Set C","Nonword","Female","Right","Metrical","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Metrical.M.L_N.Halomimoc.F.R.wav"
"57","Exposure","Filler",1,13,"3","Melancholy","Set A","Word","Female","Right","Hintarber","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Hintarber.M.L_W.Melancholy.F.R.wav"
"58","Exposure","Filler",1,13,"4","Ibirak","Set B","Nonword","Female","Left","Negate","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Ibirak.F.L_W.Negate.M.R.wav"
"59","Exposure","Filler",1,13,"1","Gerbualo","Set C","Nonword","Female","Right","Nightmare","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Nightmare.M.L_N.Gerbualo.F.R.wav"
"60","Exposure","Filler",1,14,"3","Napkin","Set A","Word","Female","Right","Gardimuallay","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Gardimuallay.M.L_W.Napkin.F.R.wav"
"61","Exposure","Filler",1,14,"4","Halken","Set B","Nonword","Female","Left","Outnumber","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Halken.F.L_W.Outnumber.M.R.wav"
"62","Exposure","Filler",1,14,"1","Galliwinou","Set C","Nonword","Female","Right","Panicking","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Panicking.M.L_N.Galliwinou.F.R.wav"
"63","Exposure","Filler",1,15,"3","Ornament","Set A","Word","Female","Right","Gairelom","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Gairelom.M.L_W.Ornament.F.R.wav"
"64","Exposure","Filler",1,15,"4","Ganla","Set B","Nonword","Female","Left","Parakeet","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Ganla.F.L_W.Parakeet.M.R.wav"
"65","Exposure","Filler",1,15,"1","Emhoutic","Set C","Nonword","Female","Right","Pilgrim","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Pilgrim.M.L_N.Emhoutic.F.R.wav"
"66","Exposure","Filler",1,16,"3","Pineapple","Set A","Word","Female","Right","Bikanian","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Bikanian.M.L_W.Pineapple.F.R.wav"
"67","Exposure","Filler",1,16,"4","Dadigal","Set B","Nonword","Female","Left","Platonic","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Dadigal.F.L_W.Platonic.M.R.wav"
"68","Exposure","Filler",1,16,"1","Dilkuaund","Set C","Nonword","Female","Right","Predict","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Predict.M.L_N.Dilkuaund.F.R.wav"
"69","Exposure","Filler",1,17,"3","Purgatory","Set A","Word","Female","Right","Baliber","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Baliber.M.L_W.Purgatory.F.R.wav"
"70","Exposure","Filler",1,17,"4","Bamtell","Set B","Nonword","Female","Left","Tactical","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Bamtell.F.L_W.Tactical.M.R.wav"
"71","Exposure","Filler",1,17,"1","Bowidai","Set C","Nonword","Female","Right","Terminal","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Terminal.M.L_N.Bowidai.F.R.wav"
"72","Exposure","Filler",1,18,"3","Therapeutic","Set A","Word","Female","Right","Amalar","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Amalar.M.L_W.Therapeutic.F.R.wav"
"73","Exposure","Filler",1,18,"4","Anemer","Set B","Nonword","Female","Left","Titanium","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Anemer.F.L_W.Titanium.M.R.wav"
"74","Exposure","Filler",1,18,"1","Anolipa","Set C","Nonword","Female","Right","Turbulent","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Turbulent.M.L_N.Anolipa.F.R.wav"
"75","Exposure","Filler",1,19,"3","Tutorial","Set A","Word","Female","Right","Ailounam","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Ailounam.M.L_W.Tutorial.F.R.wav"
"76","Exposure","Filler",1,19,"4","Lilgrai","Set B","Nonword","Female","Left","Umbrella","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Lilgrai.F.L_W.Umbrella.M.R.wav"
"77","Exposure","Filler",1,19,"1","Alnadiro","Set C","Nonword","Female","Right","Undermine","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Undermine.M.L_N.Alnadiro.F.R.wav"
"78","Exposure","Filler",1,20,"3","Wealthy","Set A","Word","Female","Right","Acomining","Set A","Nonword","Male","Left","Word",1,FALSE,"Filler_N.Acomining.M.L_W.Wealthy.F.R.wav"
"79","Exposure","Filler",1,20,"4","Admunker","Set B","Nonword","Female","Left","Worldly","Set B","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Admunker.F.L_W.Worldly.M.R.wav"
"80","Exposure","Filler",1,20,"1","Aigi","Set C","Nonword","Female","Right","Wrinkle","Set C","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Wrinkle.M.L_N.Aigi.F.R.wav"
