"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","Correct.Response","reps","feedback","filename"
"41","Exposure","Filler",1,7,"2","Niritaly","Set C","Nonword","Male","Right","Illuminate","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Illuminate.F.L_N.Niritaly.M.R.wav"
"42","Exposure","Filler",1,8,"4","Hurdle","Set A","Word","Male","Right","Namuary","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Namuary.F.L_W.Hurdle.M.R.wav"
"43","Exposure","Filler",1,8,"3","Mibgem","Set B","Nonword","Male","Left","Interior","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Mibgem.M.L_W.Interior.F.R.wav"
"44","Exposure","Filler",1,8,"2","Makid","Set C","Nonword","Male","Right","Ironic","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Ironic.F.L_N.Makid.M.R.wav"
"45","Exposure","Filler",1,9,"4","Inhabit","Set A","Word","Male","Right","Logelai","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Logelai.F.L_W.Inhabit.M.R.wav"
"46","Exposure","Filler",1,9,"3","Meidnow","Set B","Nonword","Male","Left","Knowingly","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Meidnow.M.L_W.Knowingly.F.R.wav"
"47","Exposure","Filler",1,9,"2","Kaldemia","Set C","Nonword","Male","Right","Laminate","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Laminate.F.L_N.Kaldemia.M.R.wav"
"48","Exposure","Filler",1,10,"4","Keyboard","Set A","Word","Male","Right","Lenediaw","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Lenediaw.F.L_W.Keyboard.M.R.wav"
"49","Exposure","Filler",1,10,"3","Kermimer","Set B","Nonword","Male","Left","Lethal","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Kermimer.M.L_W.Lethal.F.R.wav"
"50","Exposure","Filler",1,10,"2","Imdalier","Set C","Nonword","Male","Right","Liability","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Liability.F.L_N.Imdalier.M.R.wav"
"51","Exposure","Filler",1,11,"4","Lengthen","Set A","Word","Male","Right","Kelabidel","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Kelabidel.F.L_W.Lengthen.M.R.wav"
"52","Exposure","Filler",1,11,"3","Itempider","Set B","Nonword","Male","Left","Lobbying","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Itempider.M.L_W.Lobbying.F.R.wav"
"53","Exposure","Filler",1,11,"2","Kloumidiger","Set C","Nonword","Male","Right","Marina","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Marina.F.L_N.Kloumidiger.M.R.wav"
"54","Exposure","Filler",1,12,"4","Lingering","Set A","Word","Male","Right","Inpaki","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Inpaki.F.L_W.Lingering.M.R.wav"
"55","Exposure","Filler",1,12,"3","Aknid","Set B","Nonword","Male","Left","Membrane","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Aknid.M.L_W.Membrane.F.R.wav"
"56","Exposure","Filler",1,12,"2","Halomimoc","Set C","Nonword","Male","Right","Metrical","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Metrical.F.L_N.Halomimoc.M.R.wav"
"57","Exposure","Filler",1,13,"4","Melancholy","Set A","Word","Male","Right","Hintarber","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Hintarber.F.L_W.Melancholy.M.R.wav"
"58","Exposure","Filler",1,13,"3","Ibirak","Set B","Nonword","Male","Left","Negate","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Ibirak.M.L_W.Negate.F.R.wav"
"59","Exposure","Filler",1,13,"2","Gerbualo","Set C","Nonword","Male","Right","Nightmare","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Nightmare.F.L_N.Gerbualo.M.R.wav"
"60","Exposure","Filler",1,14,"4","Napkin","Set A","Word","Male","Right","Gardimuallay","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Gardimuallay.F.L_W.Napkin.M.R.wav"
"61","Exposure","Filler",1,14,"3","Halken","Set B","Nonword","Male","Left","Outnumber","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Halken.M.L_W.Outnumber.F.R.wav"
"62","Exposure","Filler",1,14,"2","Galliwinou","Set C","Nonword","Male","Right","Panicking","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Panicking.F.L_N.Galliwinou.M.R.wav"
"63","Exposure","Filler",1,15,"4","Ornament","Set A","Word","Male","Right","Gairelom","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Gairelom.F.L_W.Ornament.M.R.wav"
"64","Exposure","Filler",1,15,"3","Ganla","Set B","Nonword","Male","Left","Parakeet","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Ganla.M.L_W.Parakeet.F.R.wav"
"65","Exposure","Filler",1,15,"2","Emhoutic","Set C","Nonword","Male","Right","Pilgrim","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Pilgrim.F.L_N.Emhoutic.M.R.wav"
"66","Exposure","Filler",1,16,"4","Pineapple","Set A","Word","Male","Right","Bikanian","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Bikanian.F.L_W.Pineapple.M.R.wav"
"67","Exposure","Filler",1,16,"3","Dadigal","Set B","Nonword","Male","Left","Platonic","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Dadigal.M.L_W.Platonic.F.R.wav"
"68","Exposure","Filler",1,16,"2","Dilkuaund","Set C","Nonword","Male","Right","Predict","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Predict.F.L_N.Dilkuaund.M.R.wav"
"69","Exposure","Filler",1,17,"4","Purgatory","Set A","Word","Male","Right","Baliber","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Baliber.F.L_W.Purgatory.M.R.wav"
"70","Exposure","Filler",1,17,"3","Bamtell","Set B","Nonword","Male","Left","Tactical","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Bamtell.M.L_W.Tactical.F.R.wav"
"71","Exposure","Filler",1,17,"2","Bowidai","Set C","Nonword","Male","Right","Terminal","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Terminal.F.L_N.Bowidai.M.R.wav"
"72","Exposure","Filler",1,18,"4","Therapeutic","Set A","Word","Male","Right","Amalar","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Amalar.F.L_W.Therapeutic.M.R.wav"
"73","Exposure","Filler",1,18,"3","Anemer","Set B","Nonword","Male","Left","Titanium","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Anemer.M.L_W.Titanium.F.R.wav"
"74","Exposure","Filler",1,18,"2","Anolipa","Set C","Nonword","Male","Right","Turbulent","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Turbulent.F.L_N.Anolipa.M.R.wav"
"75","Exposure","Filler",1,19,"4","Tutorial","Set A","Word","Male","Right","Ailounam","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Ailounam.F.L_W.Tutorial.M.R.wav"
"76","Exposure","Filler",1,19,"3","Lilgrai","Set B","Nonword","Male","Left","Umbrella","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Lilgrai.M.L_W.Umbrella.F.R.wav"
"77","Exposure","Filler",1,19,"2","Alnadiro","Set C","Nonword","Male","Right","Undermine","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Undermine.F.L_N.Alnadiro.M.R.wav"
"78","Exposure","Filler",1,20,"4","Wealthy","Set A","Word","Male","Right","Acomining","Set A","Nonword","Female","Left","Word",1,FALSE,"Filler_N.Acomining.F.L_W.Wealthy.M.R.wav"
"79","Exposure","Filler",1,20,"3","Admunker","Set B","Nonword","Male","Left","Worldly","Set B","Word","Female","Right","Nonword",1,FALSE,"Filler_N.Admunker.M.L_W.Worldly.F.R.wav"
"80","Exposure","Filler",1,20,"2","Aigi","Set C","Nonword","Male","Right","Wrinkle","Set C","Word","Female","Left","Nonword",1,FALSE,"Filler_W.Wrinkle.F.L_N.Aigi.M.R.wav"
