"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","reps","feedback","filename"
"71","Exposure","Filler",1,17,"1","Bowidai","Set C","Nonword","Female","Right","Terminal","Set C","Word","Male","Left",1,FALSE,"Filler_W.Terminal.M.L_N.Bowidai.F.R.wav"
"72","Exposure","Filler",1,18,"3","Therapeutic","Set A","Word","Female","Right","Amalar","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Amalar.M.L_W.Therapeutic.F.R.wav"
"73","Exposure","Filler",1,18,"4","Anemer","Set B","Nonword","Female","Left","Titanium","Set B","Word","Male","Right",1,FALSE,"Filler_N.Anemer.F.L_W.Titanium.M.R.wav"
"74","Exposure","Filler",1,18,"1","Anolipa","Set C","Nonword","Female","Right","Turbulent","Set C","Word","Male","Left",1,FALSE,"Filler_W.Turbulent.M.L_N.Anolipa.F.R.wav"
"75","Exposure","Filler",1,19,"3","Tutorial","Set A","Word","Female","Right","Ailounam","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Ailounam.M.L_W.Tutorial.F.R.wav"
"76","Exposure","Filler",1,19,"4","Lilgrai","Set B","Nonword","Female","Left","Umbrella","Set B","Word","Male","Right",1,FALSE,"Filler_N.Lilgrai.F.L_W.Umbrella.M.R.wav"
"77","Exposure","Filler",1,19,"1","Alnadiro","Set C","Nonword","Female","Right","Undermine","Set C","Word","Male","Left",1,FALSE,"Filler_W.Undermine.M.L_N.Alnadiro.F.R.wav"
"78","Exposure","Filler",1,20,"3","Wealthy","Set A","Word","Female","Right","Acomining","Set A","Nonword","Male","Left",1,FALSE,"Filler_N.Acomining.M.L_W.Wealthy.F.R.wav"
"79","Exposure","Filler",1,20,"4","Admunker","Set B","Nonword","Female","Left","Worldly","Set B","Word","Male","Right",1,FALSE,"Filler_N.Admunker.F.L_W.Worldly.M.R.wav"
"80","Exposure","Filler",1,20,"1","Aigi","Set C","Nonword","Female","Right","Wrinkle","Set C","Word","Male","Left",1,FALSE,"Filler_W.Wrinkle.M.L_N.Aigi.F.R.wav"
