"","Phase","Item.Type","Block","Item.Number","Version","Attended.Talker","Attended.Talker_Materials","Attended.Talker_Sound","Attended.Talker_Gender","Attended.Talker_Ear","Unattended.Talker","Unattended.Talker_Materials","Unattended.Talker_Sound","Unattended.Talker_Gender","Unattended.Talker_Ear","Correct.Response","reps","feedback","filename"
"68","Exposure","Filler",1,16,"4","Dilkuaund","Set C","Nonword","Female","Left","Predict","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Dilkuaund.F.L_W.Predict.M.R.wav"
"69","Exposure","Filler",1,17,"2","Purgatory","Set A","Word","Female","Left","Baliber","Set A","Nonword","Male","Right","Word",1,FALSE,"Filler_W.Purgatory.F.L_N.Baliber.M.R.wav"
"70","Exposure","Filler",1,17,"1","Bamtell","Set B","Nonword","Female","Right","Tactical","Set B","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Tactical.M.L_N.Bamtell.F.R.wav"
"71","Exposure","Filler",1,17,"4","Bowidai","Set C","Nonword","Female","Left","Terminal","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Bowidai.F.L_W.Terminal.M.R.wav"
"72","Exposure","Filler",1,18,"2","Therapeutic","Set A","Word","Female","Left","Amalar","Set A","Nonword","Male","Right","Word",1,FALSE,"Filler_W.Therapeutic.F.L_N.Amalar.M.R.wav"
"73","Exposure","Filler",1,18,"1","Anemer","Set B","Nonword","Female","Right","Titanium","Set B","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Titanium.M.L_N.Anemer.F.R.wav"
"74","Exposure","Filler",1,18,"4","Anolipa","Set C","Nonword","Female","Left","Turbulent","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Anolipa.F.L_W.Turbulent.M.R.wav"
"75","Exposure","Filler",1,19,"2","Tutorial","Set A","Word","Female","Left","Ailounam","Set A","Nonword","Male","Right","Word",1,FALSE,"Filler_W.Tutorial.F.L_N.Ailounam.M.R.wav"
"76","Exposure","Filler",1,19,"1","Lilgrai","Set B","Nonword","Female","Right","Umbrella","Set B","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Umbrella.M.L_N.Lilgrai.F.R.wav"
"77","Exposure","Filler",1,19,"4","Alnadiro","Set C","Nonword","Female","Left","Undermine","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Alnadiro.F.L_W.Undermine.M.R.wav"
"78","Exposure","Filler",1,20,"2","Wealthy","Set A","Word","Female","Left","Acomining","Set A","Nonword","Male","Right","Word",1,FALSE,"Filler_W.Wealthy.F.L_N.Acomining.M.R.wav"
"79","Exposure","Filler",1,20,"1","Admunker","Set B","Nonword","Female","Right","Worldly","Set B","Word","Male","Left","Nonword",1,FALSE,"Filler_W.Worldly.M.L_N.Admunker.F.R.wav"
"80","Exposure","Filler",1,20,"4","Aigi","Set C","Nonword","Female","Left","Wrinkle","Set C","Word","Male","Right","Nonword",1,FALSE,"Filler_N.Aigi.F.L_W.Wrinkle.M.R.wav"
