"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"53","Exposure","Filler",1,11,"Marina","Set C","Word","Kloumidiger","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Marina.M.L_N.Kloumidiger.F.R.wav"
"54","Exposure","Filler",1,12,"Lingering","Set A","Word","Inpaki","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Lingering.F.R_N.Inpaki.M.L.wav"
"55","Exposure","Filler",1,12,"Membrane","Set B","Word","Aknid","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Membrane.M.R_N.Aknid.F.L.wav"
"56","Exposure","Filler",1,12,"Metrical","Set C","Word","Halomimoc","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Metrical.M.L_N.Halomimoc.F.R.wav"
"57","Exposure","Filler",1,13,"Melancholy","Set A","Word","Hintarber","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Melancholy.F.R_N.Hintarber.M.L.wav"
"58","Exposure","Filler",1,13,"Negate","Set B","Word","Ibirak","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Negate.M.R_N.Ibirak.F.L.wav"
"59","Exposure","Filler",1,13,"Nightmare","Set C","Word","Gerbualo","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Nightmare.M.L_N.Gerbualo.F.R.wav"
"60","Exposure","Filler",1,14,"Napkin","Set A","Word","Gardimuallay","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Napkin.F.R_N.Gardimuallay.M.L.wav"
"61","Exposure","Filler",1,14,"Outnumber","Set B","Word","Halken","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Outnumber.M.R_N.Halken.F.L.wav"
"62","Exposure","Filler",1,14,"Panicking","Set C","Word","Galliwinou","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Panicking.M.L_N.Galliwinou.F.R.wav"
"63","Exposure","Filler",1,15,"Ornament","Set A","Word","Gairelom","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Ornament.F.R_N.Gairelom.M.L.wav"
