"","Attended.Talker","Expected.Response","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","reps","feedback","filename"
"52","Male","Nonword","Exposure","Filler",1,11,"Lobbying","Set B","Word","Itempider","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Lobbying.F.R_N.Itempider.M.L.wav"
"53","Male","Nonword","Exposure","Filler",1,11,"Marina","Set C","Word","Kloumidiger","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Marina.F.L_N.Kloumidiger.M.R.wav"
"54","Male","Word","Exposure","Filler",1,12,"Lingering","Set A","Word","Inpaki","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Lingering.M.R_N.Inpaki.F.L.wav"
"55","Male","Nonword","Exposure","Filler",1,12,"Membrane","Set B","Word","Aknid","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Membrane.F.R_N.Aknid.M.L.wav"
"56","Male","Nonword","Exposure","Filler",1,12,"Metrical","Set C","Word","Halomimoc","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Metrical.F.L_N.Halomimoc.M.R.wav"
"57","Male","Word","Exposure","Filler",1,13,"Melancholy","Set A","Word","Hintarber","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Melancholy.M.R_N.Hintarber.F.L.wav"
"58","Male","Nonword","Exposure","Filler",1,13,"Negate","Set B","Word","Ibirak","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Negate.F.R_N.Ibirak.M.L.wav"
"59","Male","Nonword","Exposure","Filler",1,13,"Nightmare","Set C","Word","Gerbualo","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Nightmare.F.L_N.Gerbualo.M.R.wav"
"60","Male","Word","Exposure","Filler",1,14,"Napkin","Set A","Word","Gardimuallay","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Napkin.M.R_N.Gardimuallay.F.L.wav"
"61","Male","Nonword","Exposure","Filler",1,14,"Outnumber","Set B","Word","Halken","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Outnumber.F.R_N.Halken.M.L.wav"
"62","Male","Nonword","Exposure","Filler",1,14,"Panicking","Set C","Word","Galliwinou","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Panicking.F.L_N.Galliwinou.M.R.wav"
"63","Male","Word","Exposure","Filler",1,15,"Ornament","Set A","Word","Gairelom","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Ornament.M.R_N.Gairelom.F.L.wav"
"64","Male","Nonword","Exposure","Filler",1,15,"Parakeet","Set B","Word","Ganla","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Parakeet.F.R_N.Ganla.M.L.wav"
"65","Male","Nonword","Exposure","Filler",1,15,"Pilgrim","Set C","Word","Emhoutic","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Pilgrim.F.L_N.Emhoutic.M.R.wav"
"66","Male","Word","Exposure","Filler",1,16,"Pineapple","Set A","Word","Bikanian","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Pineapple.M.R_N.Bikanian.F.L.wav"
"67","Male","Nonword","Exposure","Filler",1,16,"Platonic","Set B","Word","Dadigal","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Platonic.F.R_N.Dadigal.M.L.wav"
"68","Male","Nonword","Exposure","Filler",1,16,"Predict","Set C","Word","Dilkuaund","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Predict.F.L_N.Dilkuaund.M.R.wav"
"69","Male","Word","Exposure","Filler",1,17,"Purgatory","Set A","Word","Baliber","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Purgatory.M.R_N.Baliber.F.L.wav"
"70","Male","Nonword","Exposure","Filler",1,17,"Tactical","Set B","Word","Bamtell","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Tactical.F.R_N.Bamtell.M.L.wav"
"71","Male","Nonword","Exposure","Filler",1,17,"Terminal","Set C","Word","Bowidai","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Terminal.F.L_N.Bowidai.M.R.wav"
"72","Male","Word","Exposure","Filler",1,18,"Therapeutic","Set A","Word","Amalar","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Therapeutic.M.R_N.Amalar.F.L.wav"
"73","Male","Nonword","Exposure","Filler",1,18,"Titanium","Set B","Word","Anemer","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Titanium.F.R_N.Anemer.M.L.wav"
"74","Male","Nonword","Exposure","Filler",1,18,"Turbulent","Set C","Word","Anolipa","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Turbulent.F.L_N.Anolipa.M.R.wav"
"75","Male","Word","Exposure","Filler",1,19,"Tutorial","Set A","Word","Ailounam","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Tutorial.M.R_N.Ailounam.F.L.wav"
"76","Male","Nonword","Exposure","Filler",1,19,"Umbrella","Set B","Word","Lilgrai","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Umbrella.F.R_N.Lilgrai.M.L.wav"
"77","Male","Nonword","Exposure","Filler",1,19,"Undermine","Set C","Word","Alnadiro","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Undermine.F.L_N.Alnadiro.M.R.wav"
"78","Male","Word","Exposure","Filler",1,20,"Wealthy","Set A","Word","Acomining","Set A","Nonword","4","Male","Right","Female","Left",1,FALSE,"Filler_04_A.4_W.Wealthy.M.R_N.Acomining.F.L.wav"
"79","Male","Nonword","Exposure","Filler",1,20,"Worldly","Set B","Word","Admunker","Set B","Nonword","3","Female","Right","Male","Left",1,FALSE,"Filler_04_B.3_W.Worldly.F.R_N.Admunker.M.L.wav"
"80","Male","Nonword","Exposure","Filler",1,20,"Wrinkle","Set C","Word","Aigi","Set C","Nonword","2","Female","Left","Male","Right",1,FALSE,"Filler_04_C.2_W.Wrinkle.F.L_N.Aigi.M.R.wav"
"81","NA","NA","Test","Test",1,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.01_F.1_ashi.25.wav"
"82","NA","NA","Test","Test",2,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.02_F.1_ashi.25.wav"
"83","NA","NA","Test","Test",5,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.05_F.1_ashi.25.wav"
"84","NA","NA","Test","Test",6,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.06_F.1_ashi.25.wav"
"85","NA","NA","Test","Test",9,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.09_F.1_ashi.25.wav"
"86","NA","NA","Test","Test",10,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.10_F.1_ashi.25.wav"
"87","NA","NA","Test","Test",3,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.03_M.1_ashi.25.wav"
"88","NA","NA","Test","Test",4,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.04_M.1_ashi.25.wav"
"89","NA","NA","Test","Test",7,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.07_M.1_ashi.25.wav"
"90","NA","NA","Test","Test",8,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.08_M.1_ashi.25.wav"
"91","NA","NA","Test","Test",11,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.11_M.1_ashi.25.wav"
"92","NA","NA","Test","Test",12,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.12_M.1_ashi.25.wav"
"93","NA","NA","Test","Test",1,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.01_F.2_ashi.30.wav"
"94","NA","NA","Test","Test",2,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.02_F.2_ashi.30.wav"
"95","NA","NA","Test","Test",5,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.05_F.2_ashi.30.wav"
"96","NA","NA","Test","Test",6,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.06_F.2_ashi.30.wav"
"97","NA","NA","Test","Test",9,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.09_F.2_ashi.30.wav"
"98","NA","NA","Test","Test",10,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.10_F.2_ashi.30.wav"
"99","NA","NA","Test","Test",3,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.03_M.2_ashi.30.wav"
"100","NA","NA","Test","Test",4,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.04_M.2_ashi.30.wav"
"101","NA","NA","Test","Test",7,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.07_M.2_ashi.30.wav"
"102","NA","NA","Test","Test",8,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.08_M.2_ashi.30.wav"
"103","NA","NA","Test","Test",11,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.11_M.2_ashi.30.wav"
"104","NA","NA","Test","Test",12,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.12_M.2_ashi.30.wav"
"105","NA","NA","Test","Test",1,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.01_F.3_ashi.40.wav"
"106","NA","NA","Test","Test",2,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.02_F.3_ashi.40.wav"
"107","NA","NA","Test","Test",5,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.05_F.3_ashi.40.wav"
"108","NA","NA","Test","Test",6,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.06_F.3_ashi.40.wav"
