"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"67","Exposure","Filler",1,16,"Platonic","Set B","Word","Dadigal","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Platonic.F.R_N.Dadigal.M.L.wav"
"68","Exposure","Filler",1,16,"Predict","Set C","Word","Dilkuaund","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Predict.F.L_N.Dilkuaund.M.R.wav"
"69","Exposure","Filler",1,17,"Purgatory","Set A","Word","Baliber","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Purgatory.M.R_N.Baliber.F.L.wav"
"70","Exposure","Filler",1,17,"Tactical","Set B","Word","Bamtell","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Tactical.F.R_N.Bamtell.M.L.wav"
"71","Exposure","Filler",1,17,"Terminal","Set C","Word","Bowidai","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Terminal.F.L_N.Bowidai.M.R.wav"
"72","Exposure","Filler",1,18,"Therapeutic","Set A","Word","Amalar","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Therapeutic.M.R_N.Amalar.F.L.wav"
"73","Exposure","Filler",1,18,"Titanium","Set B","Word","Anemer","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Titanium.F.R_N.Anemer.M.L.wav"
"74","Exposure","Filler",1,18,"Turbulent","Set C","Word","Anolipa","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Turbulent.F.L_N.Anolipa.M.R.wav"
"75","Exposure","Filler",1,19,"Tutorial","Set A","Word","Ailounam","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Tutorial.M.R_N.Ailounam.F.L.wav"
"76","Exposure","Filler",1,19,"Umbrella","Set B","Word","Lilgrai","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Umbrella.F.R_N.Lilgrai.M.L.wav"
"77","Exposure","Filler",1,19,"Undermine","Set C","Word","Alnadiro","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Undermine.F.L_N.Alnadiro.M.R.wav"
"78","Exposure","Filler",1,20,"Wealthy","Set A","Word","Acomining","Set A","Nonword","4","Male","Right","Female","Left",1,"Filler_04_A.4_W.Wealthy.M.R_N.Acomining.F.L.wav"
"79","Exposure","Filler",1,20,"Worldly","Set B","Word","Admunker","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_04_B.3_W.Worldly.F.R_N.Admunker.M.L.wav"
"80","Exposure","Filler",1,20,"Wrinkle","Set C","Word","Aigi","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_04_C.2_W.Wrinkle.F.L_N.Aigi.M.R.wav"
"81","Test","Test",1,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.1_ashi.25.wav"
"82","Test","Test",2,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.1_ashi.25.wav"
