"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"43","Exposure","Filler",1,8,"Interior","Set B","Word","Mibgem","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Interior.F.L_N.Mibgem.M.R.wav"
"44","Exposure","Filler",1,8,"Ironic","Set C","Word","Makid","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Ironic.F.R_N.Makid.M.L.wav"
"45","Exposure","Filler",1,9,"Inhabit","Set A","Word","Logelai","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Inhabit.M.L_N.Logelai.F.R.wav"
"46","Exposure","Filler",1,9,"Knowingly","Set B","Word","Meidnow","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Knowingly.F.L_N.Meidnow.M.R.wav"
"47","Exposure","Filler",1,9,"Laminate","Set C","Word","Kaldemia","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Laminate.F.R_N.Kaldemia.M.L.wav"
"48","Exposure","Filler",1,10,"Keyboard","Set A","Word","Lenediaw","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Keyboard.M.L_N.Lenediaw.F.R.wav"
"49","Exposure","Filler",1,10,"Lethal","Set B","Word","Kermimer","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Lethal.F.L_N.Kermimer.M.R.wav"
"50","Exposure","Filler",1,10,"Liability","Set C","Word","Imdalier","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Liability.F.R_N.Imdalier.M.L.wav"
"51","Exposure","Filler",1,11,"Lengthen","Set A","Word","Kelabidel","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Lengthen.M.L_N.Kelabidel.F.R.wav"
"52","Exposure","Filler",1,11,"Lobbying","Set B","Word","Itempider","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Lobbying.F.L_N.Itempider.M.R.wav"
"53","Exposure","Filler",1,11,"Marina","Set C","Word","Kloumidiger","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Marina.F.R_N.Kloumidiger.M.L.wav"
"54","Exposure","Filler",1,12,"Lingering","Set A","Word","Inpaki","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Lingering.M.L_N.Inpaki.F.R.wav"
"55","Exposure","Filler",1,12,"Membrane","Set B","Word","Aknid","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Membrane.F.L_N.Aknid.M.R.wav"
"56","Exposure","Filler",1,12,"Metrical","Set C","Word","Halomimoc","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Metrical.F.R_N.Halomimoc.M.L.wav"
"57","Exposure","Filler",1,13,"Melancholy","Set A","Word","Hintarber","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Melancholy.M.L_N.Hintarber.F.R.wav"
"58","Exposure","Filler",1,13,"Negate","Set B","Word","Ibirak","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Negate.F.L_N.Ibirak.M.R.wav"
"59","Exposure","Filler",1,13,"Nightmare","Set C","Word","Gerbualo","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Nightmare.F.R_N.Gerbualo.M.L.wav"
"60","Exposure","Filler",1,14,"Napkin","Set A","Word","Gardimuallay","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Napkin.M.L_N.Gardimuallay.F.R.wav"
"61","Exposure","Filler",1,14,"Outnumber","Set B","Word","Halken","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Outnumber.F.L_N.Halken.M.R.wav"
"62","Exposure","Filler",1,14,"Panicking","Set C","Word","Galliwinou","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Panicking.F.R_N.Galliwinou.M.L.wav"
"63","Exposure","Filler",1,15,"Ornament","Set A","Word","Gairelom","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Ornament.M.L_N.Gairelom.F.R.wav"
"64","Exposure","Filler",1,15,"Parakeet","Set B","Word","Ganla","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Parakeet.F.L_N.Ganla.M.R.wav"
"65","Exposure","Filler",1,15,"Pilgrim","Set C","Word","Emhoutic","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Pilgrim.F.R_N.Emhoutic.M.L.wav"
"66","Exposure","Filler",1,16,"Pineapple","Set A","Word","Bikanian","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Pineapple.M.L_N.Bikanian.F.R.wav"
"67","Exposure","Filler",1,16,"Platonic","Set B","Word","Dadigal","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Platonic.F.L_N.Dadigal.M.R.wav"
"68","Exposure","Filler",1,16,"Predict","Set C","Word","Dilkuaund","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Predict.F.R_N.Dilkuaund.M.L.wav"
"69","Exposure","Filler",1,17,"Purgatory","Set A","Word","Baliber","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Purgatory.M.L_N.Baliber.F.R.wav"
"70","Exposure","Filler",1,17,"Tactical","Set B","Word","Bamtell","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Tactical.F.L_N.Bamtell.M.R.wav"
"71","Exposure","Filler",1,17,"Terminal","Set C","Word","Bowidai","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Terminal.F.R_N.Bowidai.M.L.wav"
"72","Exposure","Filler",1,18,"Therapeutic","Set A","Word","Amalar","Set A","Nonword","1","Male","Left","Female","Right",1,"Filler_A.01_W.Therapeutic.M.L_N.Amalar.F.R.wav"
"73","Exposure","Filler",1,18,"Titanium","Set B","Word","Anemer","Set B","Nonword","2","Female","Left","Male","Right",1,"Filler_B.02_W.Titanium.F.L_N.Anemer.M.R.wav"
"74","Exposure","Filler",1,18,"Turbulent","Set C","Word","Anolipa","Set C","Nonword","3","Female","Right","Male","Left",1,"Filler_C.03_W.Turbulent.F.R_N.Anolipa.M.L.wav"
