"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"55","Exposure","Filler",1,12,"Membrane","Set B","Word","Aknid","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Membrane.M.L_N.Aknid.F.R.wav"
"56","Exposure","Filler",1,12,"Metrical","Set C","Word","Halomimoc","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Metrical.M.R_N.Halomimoc.F.L.wav"
"57","Exposure","Filler",1,13,"Melancholy","Set A","Word","Hintarber","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Melancholy.F.L_N.Hintarber.M.R.wav"
"58","Exposure","Filler",1,13,"Negate","Set B","Word","Ibirak","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Negate.M.L_N.Ibirak.F.R.wav"
"59","Exposure","Filler",1,13,"Nightmare","Set C","Word","Gerbualo","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Nightmare.M.R_N.Gerbualo.F.L.wav"
"60","Exposure","Filler",1,14,"Napkin","Set A","Word","Gardimuallay","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Napkin.F.L_N.Gardimuallay.M.R.wav"
"61","Exposure","Filler",1,14,"Outnumber","Set B","Word","Halken","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Outnumber.M.L_N.Halken.F.R.wav"
"62","Exposure","Filler",1,14,"Panicking","Set C","Word","Galliwinou","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Panicking.M.R_N.Galliwinou.F.L.wav"
"63","Exposure","Filler",1,15,"Ornament","Set A","Word","Gairelom","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Ornament.F.L_N.Gairelom.M.R.wav"
"64","Exposure","Filler",1,15,"Parakeet","Set B","Word","Ganla","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Parakeet.M.L_N.Ganla.F.R.wav"
"65","Exposure","Filler",1,15,"Pilgrim","Set C","Word","Emhoutic","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Pilgrim.M.R_N.Emhoutic.F.L.wav"
"66","Exposure","Filler",1,16,"Pineapple","Set A","Word","Bikanian","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Pineapple.F.L_N.Bikanian.M.R.wav"
"67","Exposure","Filler",1,16,"Platonic","Set B","Word","Dadigal","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Platonic.M.L_N.Dadigal.F.R.wav"
"68","Exposure","Filler",1,16,"Predict","Set C","Word","Dilkuaund","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Predict.M.R_N.Dilkuaund.F.L.wav"
"69","Exposure","Filler",1,17,"Purgatory","Set A","Word","Baliber","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Purgatory.F.L_N.Baliber.M.R.wav"
"70","Exposure","Filler",1,17,"Tactical","Set B","Word","Bamtell","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Tactical.M.L_N.Bamtell.F.R.wav"
"71","Exposure","Filler",1,17,"Terminal","Set C","Word","Bowidai","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Terminal.M.R_N.Bowidai.F.L.wav"
"72","Exposure","Filler",1,18,"Therapeutic","Set A","Word","Amalar","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Therapeutic.F.L_N.Amalar.M.R.wav"
"73","Exposure","Filler",1,18,"Titanium","Set B","Word","Anemer","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Titanium.M.L_N.Anemer.F.R.wav"
