Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,reps,feedback,filename
Exposure,Filler,1,16,Predict,Set C,Word,Dilkuaund,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Predict.M.R_N.Dilkuaund.F.L.wav
Exposure,Filler,1,17,Purgatory,Set A,Word,Baliber,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Purgatory.F.L_N.Baliber.M.R.wav
Exposure,Filler,1,17,Tactical,Set B,Word,Bamtell,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Tactical.M.L_N.Bamtell.F.R.wav
Exposure,Filler,1,17,Terminal,Set C,Word,Bowidai,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Terminal.M.R_N.Bowidai.F.L.wav
Exposure,Filler,1,18,Therapeutic,Set A,Word,Amalar,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Therapeutic.F.L_N.Amalar.M.R.wav
Exposure,Filler,1,18,Titanium,Set B,Word,Anemer,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Titanium.M.L_N.Anemer.F.R.wav
Exposure,Filler,1,18,Turbulent,Set C,Word,Anolipa,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Turbulent.M.R_N.Anolipa.F.L.wav
Exposure,Filler,1,19,Tutorial,Set A,Word,Ailounam,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Tutorial.F.L_N.Ailounam.M.R.wav
Exposure,Filler,1,19,Umbrella,Set B,Word,Lilgrai,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Umbrella.M.L_N.Lilgrai.F.R.wav
Exposure,Filler,1,19,Undermine,Set C,Word,Alnadiro,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Undermine.M.R_N.Alnadiro.F.L.wav
Exposure,Filler,1,20,Wealthy,Set A,Word,Acomining,Set A,Nonword,Female,Left,Male,Right,02,1,FALSE,Filler_03_A.2_W.Wealthy.F.L_N.Acomining.M.R.wav
Exposure,Filler,1,20,Worldly,Set B,Word,Admunker,Set B,Nonword,Male,Left,Female,Right,01,1,FALSE,Filler_03_B.1_W.Worldly.M.L_N.Admunker.F.R.wav
Exposure,Filler,1,20,Wrinkle,Set C,Word,Aigi,Set C,Nonword,Male,Right,Female,Left,04,1,FALSE,Filler_03_C.4_W.Wrinkle.M.R_N.Aigi.F.L.wav
