Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,A,B,Talker,reps,feedback,filename
Exposure,Filler,1,13,Melancholy,Set A,Word,Hintarber,Set A,Nonword,Female,Right,Male,Left,03,W.Melancholy.F.R,N.Hintarber.M.L,2,1,FALSE,Critical_N.Hintarber.M.L_W.Melancholy.F.R.wav
Exposure,Filler,1,13,Negate,Set B,Word,Ibirak,Set B,Nonword,Male,Right,Female,Left,04,W.Negate.M.R,N.Ibirak.F.L,2,1,FALSE,Critical_N.Ibirak.F.L_W.Negate.M.R.wav
Exposure,Filler,1,13,Nightmare,Set C,Word,Gerbualo,Set C,Nonword,Male,Left,Female,Right,01,W.Nightmare.M.L,N.Gerbualo.F.R,1,1,FALSE,Critical_W.Nightmare.M.L_N.Gerbualo.F.R.wav
Exposure,Filler,1,14,Napkin,Set A,Word,Gardimuallay,Set A,Nonword,Female,Right,Male,Left,03,W.Napkin.F.R,N.Gardimuallay.M.L,2,1,FALSE,Critical_N.Gardimuallay.M.L_W.Napkin.F.R.wav
Exposure,Filler,1,14,Outnumber,Set B,Word,Halken,Set B,Nonword,Male,Right,Female,Left,04,W.Outnumber.M.R,N.Halken.F.L,2,1,FALSE,Critical_N.Halken.F.L_W.Outnumber.M.R.wav
Exposure,Filler,1,14,Panicking,Set C,Word,Galliwinou,Set C,Nonword,Male,Left,Female,Right,01,W.Panicking.M.L,N.Galliwinou.F.R,1,1,FALSE,Critical_W.Panicking.M.L_N.Galliwinou.F.R.wav
Exposure,Filler,1,15,Ornament,Set A,Word,Gairelom,Set A,Nonword,Female,Right,Male,Left,03,W.Ornament.F.R,N.Gairelom.M.L,2,1,FALSE,Critical_N.Gairelom.M.L_W.Ornament.F.R.wav
Exposure,Filler,1,15,Parakeet,Set B,Word,Ganla,Set B,Nonword,Male,Right,Female,Left,04,W.Parakeet.M.R,N.Ganla.F.L,2,1,FALSE,Critical_N.Ganla.F.L_W.Parakeet.M.R.wav
Exposure,Filler,1,15,Pilgrim,Set C,Word,Emhoutic,Set C,Nonword,Male,Left,Female,Right,01,W.Pilgrim.M.L,N.Emhoutic.F.R,1,1,FALSE,Critical_W.Pilgrim.M.L_N.Emhoutic.F.R.wav
Exposure,Filler,1,16,Pineapple,Set A,Word,Bikanian,Set A,Nonword,Female,Right,Male,Left,03,W.Pineapple.F.R,N.Bikanian.M.L,2,1,FALSE,Critical_N.Bikanian.M.L_W.Pineapple.F.R.wav
Exposure,Filler,1,16,Platonic,Set B,Word,Dadigal,Set B,Nonword,Male,Right,Female,Left,04,W.Platonic.M.R,N.Dadigal.F.L,2,1,FALSE,Critical_N.Dadigal.F.L_W.Platonic.M.R.wav
Exposure,Filler,1,16,Predict,Set C,Word,Dilkuaund,Set C,Nonword,Male,Left,Female,Right,01,W.Predict.M.L,N.Dilkuaund.F.R,1,1,FALSE,Critical_W.Predict.M.L_N.Dilkuaund.F.R.wav
Exposure,Filler,1,17,Purgatory,Set A,Word,Baliber,Set A,Nonword,Female,Right,Male,Left,03,W.Purgatory.F.R,N.Baliber.M.L,2,1,FALSE,Critical_N.Baliber.M.L_W.Purgatory.F.R.wav
Exposure,Filler,1,17,Tactical,Set B,Word,Bamtell,Set B,Nonword,Male,Right,Female,Left,04,W.Tactical.M.R,N.Bamtell.F.L,2,1,FALSE,Critical_N.Bamtell.F.L_W.Tactical.M.R.wav
