Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,rep,filename
Exposure,Filler,1,16,Platonic,Set B,Word,Dadigal,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Platonic.F.L_N.Dadigal.M.R.wav
Exposure,Filler,1,16,Predict,Set C,Word,Dilkuaund,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Predict.F.R_N.Dilkuaund.M.L.wav
Exposure,Filler,1,17,Purgatory,Set A,Word,Baliber,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Purgatory.M.R_N.Baliber.F.L.wav
Exposure,Filler,1,17,Tactical,Set B,Word,Bamtell,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Tactical.F.L_N.Bamtell.M.R.wav
Exposure,Filler,1,17,Terminal,Set C,Word,Bowidai,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Terminal.F.R_N.Bowidai.M.L.wav
Exposure,Filler,1,18,Therapeutic,Set A,Word,Amalar,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Therapeutic.M.R_N.Amalar.F.L.wav
Exposure,Filler,1,18,Titanium,Set B,Word,Anemer,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Titanium.F.L_N.Anemer.M.R.wav
Exposure,Filler,1,18,Turbulent,Set C,Word,Anolipa,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Turbulent.F.R_N.Anolipa.M.L.wav
Exposure,Filler,1,19,Tutorial,Set A,Word,Ailounam,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Tutorial.M.R_N.Ailounam.F.L.wav
Exposure,Filler,1,19,Umbrella,Set B,Word,Lilgrai,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Umbrella.F.L_N.Lilgrai.M.R.wav
Exposure,Filler,1,19,Undermine,Set C,Word,Alnadiro,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Undermine.F.R_N.Alnadiro.M.L.wav
Exposure,Filler,1,20,Wealthy,Set A,Word,Acomining,Set A,Nonword,Male,Right,Female,Left,01,1,Filler_A.01_W.Wealthy.M.R_N.Acomining.F.L.wav
Exposure,Filler,1,20,Worldly,Set B,Word,Admunker,Set B,Nonword,Female,Left,Male,Right,02,1,Filler_B.02_W.Worldly.F.L_N.Admunker.M.R.wav
Exposure,Filler,1,20,Wrinkle,Set C,Word,Aigi,Set C,Nonword,Female,Right,Male,Left,03,1,Filler_C.03_W.Wrinkle.F.R_N.Aigi.M.L.wav
